0;HDS;INEA E PCT TRANSPORTES EIRELI;CTRCS ATRASADOS DE ENTREGA - EXCEL;08/04/2026;14:23
1;FILIAL;CTRC;AUTORIZACAO;TIPO DOCUMENTO;NF;CNPJ REMETENTE;REMETENTE;CNPJ PAGADOR;PAGADOR;CNPJ DESTINATARIO;DESTINATARIO;UF DESTINO;CIDADE DESTINO;ENTREGA AGENDADA;PREVISAO ENTREGA;ATRASO;UNIDADE ORIGEM;UNIDADE DESTINO;UNIDADE ATUAL;LOCALIZACAO ATUAL;COD ULTIMA OCORRENCIA;INSTRUCAO/COMPLEMENTO ULTIMA OCORRENCIA;DATA ULTIMA OCORRENCIA;RESPONSABILIDADE CLIENTE;VAL MERC;FRETE;QTD VOLUMES;PESO;M3;
2;JOI;RJO003715-0;20/03/2026;CORTESIA;   485840;05879152000634;04.08 BOTTI ..;75339051000141;DOCOL INDUSTRIA A2;75339051000141;DOCOL INDUS A2;SC;JOINVILLE;          ;26/03/26; 13;RJO;JOI;RJO;;80;CT-e autorizado com 1 volume e 2 Kg. Destino: SC/JOINVILLE. Previsao de entrega: 26/03/26;20/03/2026;NAO;     1.221,48;         0,01;1;         2;         0;
2;JOI;RJO003675-7;27/02/2026;SUBCONTRATO EXPEDICAO;   532188;44148670000125;AGROPET RAC ..;11040609000100;H. D. LOG TRANS .1;76635689001830;O V D IMP.  C.;SC;JOINVILLE;          ;05/03/26; 34;RJO;JOI;JOI;;84;Chegada na unidade JOINVILLE em 17/03/26, 18:25h.;17/03/2026;NAO;     1.278,76;       167,76;2;        67;         0;
2;JOI;RJO003692-7;12/03/2026;NORMAL;    84821;23476033001856;BMB MATERIA ..;13890656000179;CLAW COML IMPOR B.;13890656000179;CLAW COML I B.;SC;JARAGUA DO SUL;          ;18/03/26; 21;RJO;JOI;JOI;;84;Chegada na unidade JOINVILLE em 31/03/26, 17:41h.;31/03/2026;NAO;       259,49;         0,10;1;         4;         0;
2;JOI;RJO003700-1;13/03/2026;SUBCONTRATO EXPEDICAO;  1448646;20861218000148;OSM OFFSHOR ..;11040609000100;H. D. LOG TRANS .1;92664028002519;FERRAMENTAS ..;SC;JOINVILLE;          ;19/03/26; 20;RJO;JOI;JOI;;84;Chegada na unidade JOINVILLE em 31/03/26, 17:41h.;31/03/2026;NAO;     5.171,34;       122,86;7;        42;         0;
2;JOI;RJO003701-0;16/03/2026;CORTESIA;   532188;44148670000125;AGROPET RAC ..;76635689001830;O V D IMP. DIST C.;76635689001830;O V D IMP.  C.;SC;ITAJAI;          ;24/03/26; 15;RJO;JOI;JOI;;84;Chegada na unidade JOINVILLE em 23/03/26, 19:23h.;23/03/2026;NAO;     1.278,76;         0,01;2;        67;         0;
2;JOI;RJO003709-5;18/03/2026;SUBCONTRATO EXPEDICAO;     6814;06980064017310;NACIONAL GA ..;11040609000100;H. D. LOG TRANS .1;92664028002519;FERRAMENTAS ..;SC;JOINVILLE;          ;25/03/26; 14;RJO;JOI;JOI;;84;Chegada na unidade JOINVILLE em 02/04/26, 16:19h.;02/04/2026;NAO;     5.192,66;        89,04;1;         2;         0;
2;JOI;RJO003717-6;20/03/2026;SUBCONTRATO EXPEDICAO;   106179;23476033001775;BMB MATERIA ..;11040609000100;H. D. LOG TRANS .1;10921911000709;FORTLEV IND ..;SC;JOINVILLE;          ;26/03/26; 13;RJO;JOI;JOI;;84;Chegada na unidade JOINVILLE em 31/03/26, 17:41h.;31/03/2026;NAO;       380,37;       100,44;7;         5;         0;
2;JOI;RJO003718-4;20/03/2026;SUBCONTRATO EXPEDICAO;   113595;23476033001775;BMB MATERIA ..;11040609000100;H. D. LOG TRANS .1;10921911000709;FORTLEV IND ..;SC;JOINVILLE;          ;26/03/26; 13;RJO;JOI;JOI;;84;Chegada na unidade JOINVILLE em 31/03/26, 17:41h.;31/03/2026;NAO;       642,87;       113,61;1;        17;         0;
2;JOI;RJO003719-2;20/03/2026;SUBCONTRATO EXPEDICAO;  1455722;42644220000106;AGUAS DO RI ..;11040609000100;H. D. LOG TRANS .1;92664028002519;FERRAMENTAS ..;SC;JOINVILLE;          ;26/03/26; 13;RJO;JOI;JOI;;84;Chegada na unidade JOINVILLE em 31/03/26, 17:41h.;31/03/2026;NAO;     1.702,61;       160,84;17;        92;         0;
2;JOI;RJO003720-6;20/03/2026;SUBCONTRATO EXPEDICAO;  1432652;42644220000106;AGUAS DO RI ..;11040609000100;H. D. LOG TRANS .1;92664028002519;FERRAMENTAS ..;SC;JOINVILLE;          ;26/03/26; 13;RJO;JOI;JOI;;84;Chegada na unidade JOINVILLE em 31/03/26, 17:41h.;31/03/2026;NAO;     1.518,28;        65,05;4;        69;         0;
2;JOI;RJO003721-4;20/03/2026;SUBCONTRATO EXPEDICAO;  1433144;42644220000106;AGUAS DO RI ..;11040609000100;H. D. LOG TRANS .1;92664028002519;FERRAMENTAS ..;SC;JOINVILLE;          ;26/03/26; 13;RJO;JOI;JOI;;84;Chegada na unidade JOINVILLE em 31/03/26, 17:41h.;31/03/2026;NAO;     3.111,99;        62,84;1;        18;         0;
2;JOI;JOI121087-4;26/03/2026;SUBCONTRATO EXPEDICAO;  1440658;42644220000106;AGUAS DO RI ..;11040609000100;H. D. LOG TRANS .1;92664028002519;FERRAMENTAS ..;SC;JOINVILLE;          ;01/04/26;  7;JOI;JOI;JOI;;84;Chegada na unidade JOINVILLE em 02/04/26, 16:19h.;02/04/2026;NAO;     3.556,56;       110,10;2;        20;         0;
2;JOI;RJO003727-3;25/03/2026;SUBCONTRATO EXPEDICAO;   676273;23476033000531;BMB MAT DE  ..;11040609000100;H. D. LOG TRANS .1;10921911000709;FORTLEV IND ..;SC;JOINVILLE;          ;01/04/26;  7;RJO;JOI;JOI;;84;Chegada na unidade JOINVILLE em 31/03/26, 17:41h.;31/03/2026;NAO;     1.961,49;       145,58;3;        40;         0;
2;JOI;RJO003728-1;25/03/2026;SUBCONTRATO EXPEDICAO;   114840;23476033001775;BMB MATERIA ..;11040609000100;H. D. LOG TRANS .1;10921911000709;FORTLEV IND ..;SC;JOINVILLE;          ;01/04/26;  7;RJO;JOI;JOI;;84;Chegada na unidade JOINVILLE em 31/03/26, 17:41h.;31/03/2026;NAO;       383,54;       112,51;1;        14;         0;
2;JOI;RJO003739-7;27/03/2026;SUBCONTRATO EXPEDICAO;   122934;23476033001775;BMB MATERIA ..;11040609000100;H. D. LOG TRANS .1;10921911000709;FORTLEV IND ..;SC;JOINVILLE;          ;02/04/26;  6;RJO;JOI;JOI;;84;Chegada na unidade JOINVILLE em 02/04/26, 16:19h.;02/04/2026;NAO;       383,54;       122,18;1;        14;         0;
