0;INEA E PCT TRANSPORTES EIRELI;FATURAS VENCIDAS;08/04/2026;12:59
1;Fatura;Emissao;CNPJ pagador;Nome pagador;ClienteABC;Cidade pagador;UF pagador;UnidResp;Vendedor;Banco;Valor;Vencimento;DiasAtraso;Saldo
2;0006241-3;21/02/26;75339051001385;DOCOL INDUSTRIA E COMERCIO LTDA;"A2";JOINVILLE;SC;JOI;alexsand;CARTEIRA;8004,57;18/03/26;21;0,00
2;0006266-9;01/03/26;75339051001385;DOCOL INDUSTRIA E COMERCIO LTDA;"A2";JOINVILLE;SC;JOI;alexsand;CARTEIRA;9872,28;28/03/26;11;0,00
2;0003573-4;21/05/23;75339051001385;DOCOL INDUSTRIA E COMERCIO LTDA;"A2";JOINVILLE;SC;JOI;alexsand;CARTEIRA;71,51;18/06/23;1025;71,51
2;0002796-1;22/08/22;75339051001385;DOCOL INDUSTRIA E COMERCIO LTDA;"A2";JOINVILLE;SC;JOI;alexsand;CARTEIRA;3953,09;18/09/22;1298;3953,09
2;0002975-1;21/10/22;75339051001385;DOCOL INDUSTRIA E COMERCIO LTDA;"A2";JOINVILLE;SC;JOI;alexsand;CARTEIRA;5508,12;18/11/22;1237;5508,12
2;0002003-6;21/10/21;41396899000190;DOCOL INOX LTDA;".2";JOINVILLE;SC;JOI;alexsand;CARTEIRA;734,55;26/11/21;1594;734,55
2;0002024-9;01/11/21;41396899000190;DOCOL INOX LTDA;".2";JOINVILLE;SC;JOI;alexsand;CARTEIRA;211,06;28/11/21;1592;211,06
2;0002072-9;22/11/21;41396899000190;DOCOL INOX LTDA;".2";JOINVILLE;SC;JOI;alexsand;CARTEIRA;468,36;06/12/21;1584;468,36
2;0002052-4;11/11/21;41396899000190;DOCOL INOX LTDA;".2";JOINVILLE;SC;JOI;alexsand;CARTEIRA;575,81;08/12/21;1582;575,81
2;0002096-6;29/11/21;41396899000190;DOCOL INOX LTDA;".2";JOINVILLE;SC;JOI;alexsand;CARTEIRA;492,66;13/12/21;1577;492,66
2;0003182-8;02/01/23;02314099000121;FRANKE SISTEMAS DE COZINHAS DO BRASIL LTDA;".2";JOINVILLE;SC;JOI;alexsand;CARTEIRA;745,02;16/01/23;1178;745,02
2;0006141-7;19/01/26;02314099000121;FRANKE SISTEMAS DE COZINHAS DO BRASIL LTDA;".2";JOINVILLE;SC;JOI;alexsand;CARTEIRA;125,67;02/02/26;65;125,67
2;0003244-1;23/01/23;02314099000121;FRANKE SISTEMAS DE COZINHAS DO BRASIL LTDA;".2";JOINVILLE;SC;JOI;alexsand;CARTEIRA;118,55;06/02/23;1157;118,55
2;0001613-6;26/04/21;02314099000121;FRANKE SISTEMAS DE COZINHAS DO BRASIL LTDA;".2";JOINVILLE;SC;JOI;alexsand;CARTEIRA;139,15;10/05/21;1794;139,15
