0;INEA E PCT TRANSPORTES EIRELI;CTRCS EMITIDOS MENSAL;08/04/2026;02:24
1;CODIGO;DESCRICAO;TIPO;PROCESSO;PAGA COMISSAO RECEPCAO;PAGA AGREGADO ENTREGA;COBRAR REENTREGA;COBRAR ESTADIA;INFORMA CLIENTE;RESPONSABILIDADE UNIDADE ORIGEM;RESPONSABILIDADE UNIDADE ANTERIOR;CODIGO SSW;DESCRICAO SSW;
2; 42; RETIDO SEM AUTORIZACAO PAGADOR ; PENDENCIA ; ENTREGA ; -; -; -; -; -; -; -; 00; ;
2; 43; DEVOLUCAO PENDENTE ; PENDENCIA ; ENTREGA ; -; -; -; -; -; -; -; 00; ;
2; 44; *ENTREGA PARADA RJ ; PENDENCIA ; ENTREGA ; -; -; -; -; -; -; -; 00; ;
2; 45; PENDENCIA SEM OC ; PENDENCIA ; ENTREGA ; -; -; -; -; -; -; -; 00; ;
2; 46; BAIXA INDEVIDA RJ ; INFORMATIVO; GERAL ; -; -; -; -; -; -; -; 00; ;
2; 47; DUPLICIDADE ; INFORMATIVO; GERAL ; -; -; -; -; -; -; -; 00; ;
2; 48; ENTREGA PARADA RJ ; PENDENCIA ; ENTREGA ; -; -; -; -; -; -; -; 00; ;
2; 49; EXTRAVIO TOTAL ; PENDENCIA ; FINALIZADORA; -; -; -; -; -; -; -; 50; EXTRAVIO DE MERCADOR;
2; 50; FALTA DE MERCADORIA ; PENDENCIA ; GERAL ; -; -; -; -; -; -; X; 00; ;
2; 51; SOBRA DE MERCADORIA ; PENDENCIA ; GERAL ; -; -; -; -; -; -; X; 51; SOBRA DE VOLUME/MERC;
2; 52; FALTA DE DOCUMENTACAO ; PENDENCIA ; GERAL ; -; -; -; -; -; -; X; 00; ;
2; 53; MERCADORIA AVARIADA ; PENDENCIA ; GERAL ; -; -; -; -; -; -; X; 53; MERCADORIA AVARIADA ;
2; 54; EMBALAGEM AVARIADA ; PENDENCIA ; GERAL ; -; -; -; -; -; -; X; 54; EMBALAGEM AVARIADA ;
2; 55; CARGA ROUBADA OU SINISTRADA ; CLIENTE ; GERAL ; -; X; -; -; -; X; -; 55; CARGA ROUBADA ;
2; 56; MERCADORIA RETIDA PELA FISCALIZACAO ; CLIENTE ; GERAL ; -; X; -; -; X; -; -; 56; MERCAD RETIDA PELA F;
2; 57; GREVE OU PARALIZACAO ; CLIENTE ; GERAL ; -; X; -; -; X; X; -; 57; GREVE OU PARALIZACAO;
2; 58; MERCADORIA LIBERADA PELA FISCALIZACAO ; INFORMATIVO; GERAL ; -; -; -; -; X; -; -; 58; MERCAD LIBERADA PELA;
2; 59; VEICULO AVARIADO OU SINISTRADO ; PENDENCIA ; GERAL ; -; -; -; -; -; -; X; 59; VEICULO AVARIADO/SIN;
2; 60; VIA INTERDITADA ; CLIENTE ; GERAL ; -; X; -; -; X; X; -; 00; ;
2; 61; *ENTREGA PARADA JOI ; PENDENCIA ; ENTREGA ; -; -; -; -; -; -; -; 00; ;
2; 65; NOTIFICACAO RECEBIDA DO CLIENTE ; PENDENCIA ; FINALIZADORA; -; -; -; -; -; -; -; 00; ;
2; 66; CLIENTE INFORMA EXPEDICAO DE NOVA MERCAD; INFORMATIVO; FINALIZADORA; -; -; -; -; -; X; -; 66; NOVA MERCAD ENVIADA ;
2; 73; AGUARDANDO DISPONIBILIDADE DE EMBARCACAO; CLIENTE ; BALSA ; -; -; -; -; -; -; -; 73; AGUARDANDO DISPONIBI;
2; 74; PRIMEIRA TENTATIVA DE COLETA ; INFORMATIVO; COLETA ; -; -; -; -; X; -; -; 00; ;
2; 75; SEGUNDA TENTATIVA DE COLETA ; INFORMATIVO; COLETA ; -; -; -; -; X; -; -; 00; ;
2; 76; TERCEIRA TENTATIVA DE COLETA ; INFORMATIVO; COLETA ; -; -; -; -; X; -; -; 76; TERCEIRA TENTATIVA D;
2; 77; COLETA CANCELADA ; BAIXA ; COLETA ; -; -; -; -; X; -; -; 77; COLETA CANCELADA ;
2; 78; COLETA REVERSA REALIZADA ; INFORMATIVO; COLETA ; -; -; -; -; X; -; -; 00; ;
