0; HDS; INEA E PCT TRANSPORTES EIRELI; MAIORES CLIENTES DA TRANSPORTADORA; MES 03/2026
1; CLASSIFIC; CNPJ; UNID RESP; CLIENTE; ABC; CIDADE CLIENTE; UF CLIENTE; VENDEDOR; QUANT CTRC; PESO CALC KG; QTDE VOLUMES; VAL MERCAD R$1000; FRETE CIF; FRETE FOB; FRETE TERC; FRETE TOTAL; FRETE MEDIO/CTRC; FRETE/VALMERCAD; FRETE/KG; RESULT NTC %; RESULT RR %; RESULT RC %; REAJNECES %; INDENIZ; CNAE; EDI;
2;    011;75344937000183�;JOI;SINTEX INDUSTRIAL DE PLASTICOS;C;JOINVILLE;SC;alexsand;         6;      1.685;             31;       127,9;        4.812;            0;            0;        4.811,86;      801,98;          3,76;      2,86;         -8,1;         80,3;         33,2;        -33,2;      0,00;   0 ;S
2;    011;38505207000271�;RJO;VLS COMERCIO E DISTRIBUICAO DE ART;C;RIO DE JANEIRO;RJ;alexsand;         8;        720;            212;        98,7;            0;        3.875;            0;        3.874,66;      484,33;          3,93;      5,38;        -13,4;         79,2;         56,6;        -56,6;      0,00;   0 ;S
2;    011;20231436000107�;JOI;PENINSULA IMPORTACAO E EXPORTA;C;JOINVILLE;SC;ario    ;        22;        485;             71;        68,9;        2.773;            0;            0;        2.772,56;      126,03;          4,03;      5,72;         48,1;         80,8;         51,3;        -51,3;      0,00;   0 ;N
2;    011;19731267000187�;JOI;GATE 72 COMERCIAL IMPORTADORA;C;ARAQUARI;SC;ario    ;        11;      1.692;            221;        61,8;        2.532;            0;            0;        2.531,51;      230,14;          4,10;      1,50;         61,1;         60,7;        -61,3;         61,3;      0,00;   0 ;N
2;    011;26145871000197�;JOI;OPEN MEDICAL COMERCIO IMPORTAC;C;BALNEARIO CAMBORIU;SC;ario    ;         2;      1.170;             13;        83,9;        2.484;            0;            0;        2.484,29;    1.242,15;          2,96;      2,12;         24,8;         61,0;         15,9;        -15,9;      0,00;   0 ;N
2;    011;51462341000110�;JOI;PETKOV GLOBAL BRANDS LTDA;C;ITAJAI;SC;alexsand;         2;      1.854;            327;        29,7;        1.949;            0;            0;        1.949,47;      974,74;          6,55;      1,05;         52,9;         30,1;        -53,0;         53,0;      0,00;   0 ;N
2;    011;06913480002616�;JOI;DIMENSIONAL BRASIL SOLUCOES LT;C;GARUVA;SC;alexsand;         8;        356;             30;        20,7;          529;        1.311;            0;        1.839,23;      229,90;          8,89;      5,17;         31,7;         83,5;         55,7;        -55,7;      0,00;   0 ;S
3;    013;23635798000143�;JOI;SCHULZ COMPRESSORES SA;C;JOINVILLE;SC;alexsand;        11;        740;             22;        37,0;        1.713;            0;            0;        1.713,37;      155,76;          4,63;      2,32;         46,7;         60,4;         21,3;        -21,3;      0,00;   0 ;S
2;    013;23635798000143�;JOI;SCHULZ COMPRESSORES SA;C;JOINVILLE;SC;;        11;        740;             22;        37,0;        1.713;            0;            0;        1.713,37;      155,76;          4,63;      2,32;         46,7;         60,4;         21,3;        -21,3;      0,00
2;    014;10314731000246�;JOI;ARMAZEM 75 COM E IMP LTDA;C;CAMBORIU;SC;ario    ;         3;        436;             75;        24,7;        1.256;            0;            0;        1.255,85;      418,62;          5,09;      2,88;         29,4;         81,8;         10,4;        -10,4;      0,00;   0 ;N
2;    014;75409201000146�;JOI;TECELAGEM NORTE CATARINENSE;C;JOINVILLE;SC;ario    ;         8;      1.009;            152;        56,7;          990;          122;            0;        1.111,41;      138,93;          1,96;      1,10;         66,7;         46,4;        -46,9;         46,9;      0,00;   0 ;N
2;    014;30758964000164�;JOI;EVEXIA COMERCIO, IMPORTACAO E;C;GARUVA;SC;ario    ;         2;        568;              8;        35,1;        1.072;            0;            0;        1.072,21;      536,11;          3,05;      1,89;         43,1;         61,2;        -16,1;         16,1;      0,00;   0 ;N
2;    014;11261727000149�;JOI;TRIVOX COMERCIAL LTDA;C;JOINVILLE;SC;ario    ;         2;        560;             56;        24,3;          873;            0;            0;          873,11;      436,56;          3,59;      1,56;         37,5;         45,3;         -8,6;          8,6;      0,00;   0 ;N
2;    014;03485170000100�;JOI;SOCELPLAST IND DE PLAST LTDA;C;JOINVILLE;SC;alexsand;         4;        251;             51;         7,8;          853;            0;            0;          853,22;      213,31;         10,97;      3,40;         30,5;         80,8;         41,1;        -41,1;      0,00;   0 ;S
2;    014;43631188000189�;RJO;WGF ENGENHARIA E ENERGIA FOTOV;C;TERESOPOLIS;RJ;        ;         1;         85;              1;         3,3;          324;            0;            0;          323,90;      323,90;          9,80;      3,81;          0,0;         84,8;         47,2;        -47,2;      0,00;   0 ;N
2;    014;34095439000167�;JOI;ARTEMIS ARTIGOS DE CACA E PESC;C;JOINVILLE;SC;ario    ;         2;         92;              7;        19,2;          284;            0;            0;          283,79;      141,90;          1,48;      3,09;         51,3;         73,7;         37,1;        -37,1;      0,00;   0 ;N
2;    014;58092341000114�;JOI;VAESO COMERCIAL LTDA;C;JOINVILLE;SC;        ;         1;        270;             29;         3,2;          256;            0;            0;          255,50;      255,50;          7,91;      0,95;         61,0;         21,3;        -66,9;         66,9;      0,00;   0 ;N
2;    014;44951797000188�;JOI;TROPPO COMERCIO IMPORTACAO E EXPORTACAO LTDA;C;JOINVILLE;SC;        ;         1;        113;              1;         6,9;          242;            0;            0;          242,42;      242,42;          3,51;      2,15;         56,5;         89,6;        -14,6;         14,6;      0,00;   0 ;N
2;    014;28709167000145�;JOI;CG FABRICA DE ARTEFATOS PLASTI;C;ARAQUARI;SC;        ;         1;         48;              6;         3,0;          151;            0;            0;          151,36;      151,36;          5,09;      3,14;         49,2;         89,6;         18,3;        -18,3;      0,00;   0 ;N
2;    014;26228317000173�;RJO;A FABRICA - SUPLEMENTOS ALIMENTARES;C;RIO BONITO;RJ;        ;         1;         39;              6;         3,2;            0;          149;            0;          148,54;      148,54;          4,63;      3,82;         40,9;         75,1;         37,5;        -37,5;      0,00;   0 ;N
2;    014;74121559000106�;JOI;BRUNEL COMERCIO DE BRINQUEDOS;C;JARAGUA DO SUL;SC;        ;         1;          2;              1;         0,5;           99;            0;            0;           98,65;       98,65;         18,67;     49,33;         49,6;         88,5;         85,1;        -85,1;      0,00;   0 ;N
2;    014;19164523000100�;JOI;MITON FABRICA DE ARTEFATOS PLA;C;ARAQUARI;SC;ario    ;         1;          3;              1;         0,6;           82;            0;            0;           82,39;       82,39;         14,27;     32,44;         50,0;         83,5;         79,0;        -79,0;      0,00;   0 ;N
2;    014;76635689001830�;JOI;O V D IMP. DISTRIB. LTDA;C;ITAJAI;SC;        ;         1;         67;              2;         1,3;            0;            0;            0;            0,01;        0,01;          0,00;      0,00;          0,0;          0,0;       -100,0;          0,0;      0,00;   0 ;N
